Title,Author,ISBN,Average Rating,Publication Date,Rating
The Rocker Who Hates Me,Terri Anne Browning,,4.26,,0
The Rocker That Needs Me,Terri Anne Browning,,4.27,,0
The Rocker Who Betrays Me,Terri Anne Browning,,4.29,,0
The Rocker Who Shatters Me,Terri Anne Browning,,4.27,,0
The Rocker Who Cherishes Me,Terri Anne Browning,,4.27,,0
The Rocker Who Wants Me,Terri Anne Browning,,4.34,,0
The Rocker That Holds Her,Terri Anne Browning,,4.27,,0
The Rocker That Loves Me,Terri Anne Browning,,4.27,,0
How to Love,Katie Cotugno,,3.68,,0
Oh My Goth,Gena Showalter,,3.60,,0
Harry Potter and the Order of the Phoenix,J.K. Rowling,,4.50,,0
Defender,Janet Edwards,,4.36,,0
Soulless,Gail Carriger,,3.89,,0
Ready Player Two,Ernest Cline,,3.43,,0
The Old Man and the Sea,Ernest Hemingway,,3.80,,0
Ginny Gall,Charlie Smith,,3.37,,0
Ready Player One,Ernest Cline,,4.23,,0
To Kill a Mockingbird,Harper Lee,,4.26,,0
The Touchstone Trilogy,Andrea K. Höst,,4.36,,0
Losing the Field,Abbi Glines,,3.72,,0
Sandry's Book,Tamora Pierce,,4.02,,0
Wreck This Journal,Keri Smith,,4.12,,0
The Touchstone Trilogy,Andrea K. Höst,,4.36,,0
Maid for Love,Marie Force,,4.01,,0
The Winter King,C.L. Wilson,,4.04,,0
The Sea King,C.L. Wilson,,3.80,,0
Immortally Yours,Lynsay Sands,,4.19,,0
Darker,E.L. James,,4.10,,0
Dirty Bastard,Jessica Clare,,3.72,,0
Dirty Scoundrel,Jessica Clare,,3.65,,0
The Billionaire Takes a Bride,Jessica Clare,,3.89,,0
The Taming of the Billionaire,Jessica Clare,,3.85,,0
Stray,Andrea K. Höst,,3.99,,0
Sweet Revenge,Lynsay Sands,,4.00,,0
The Next Flame,Penelope Douglas,,4.28,,0
Boys South of the Mason Dixon,Abbi Glines,,3.94,,0
I Like Big Dragons and I Cannot Lie,Lani Lynn Vale,,4.00,,0
Elemental,TallulahBelle,,4.65,,0
Sweet Little Memories,Abbi Glines,,3.75,,0
Sweet Little Lies,Abbi Glines,,3.77,,0
Sweet Little Thing,Abbi Glines,,3.56,,0
Key Of Light / Morrigan's Cross,Nora Roberts,,4.39,,0
The Angel and the Highlander,Donna Fletcher,,4.04,,0
Feels like Summertime,Tammy Falkner,,4.04,,0
Sound,Alexandra Duncan,,3.76,,0
Born in Fire,Nora Roberts,,4.22,,0
Unbreathable,Hafsah Laziaf,,3.49,,0
Invaded,Melissa Landers,,3.93,,0
Soulprint,Megan Miranda,,3.68,,0
What She Didn't Know,Tammy Falkner,,3.94,,0
I'm In It,Tammy Falkner,,4.15,,0
The MacKades Brothers: Devin & Shane,Nora Roberts,,4.20,,0
Heart's Victory,Nora Roberts,,3.77,,0
Hex,Rhiannon Lassiter,,3.96,,0
13 to Life,Shannon Delany,,3.80,,0
The Secret Hour,Scott Westerfeld,,3.81,,0
Fearless,Francine Pascal,,3.85,,0
Time and Again: Time Was / Times Change,Nora Roberts,,3.79,,0
Courting Catherine,Nora Roberts,,4.03,,0
Cordina's Crown Jewel,Nora Roberts,,4.02,,0
The Winning Hand,Nora Roberts,,4.19,,0
"Irish Trilogy Collection: Jewels of the Sun, Tears of the Moon, Heart of the Sea",Nora Roberts,,4.47,,0
Earth Girl,Janet Edwards,,3.83,,0
Because of Lila,Abbi Glines,,3.77,,0
Reaper,Janet Edwards,,4.07,,0
Telepath,Janet Edwards,,4.40,,0
Proving Paul's Promise,Tammy Falkner,,4.27,,0
It's a Bright World to Feel Lost In,Mawson Bear,,4.34,,0
The Perfect Hope,Nora Roberts,,4.18,,0
The Last Boyfriend,Nora Roberts,,4.09,,0
