Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
6288,The Road,Cormac McCarthy,"McCarthy, Cormac",,"=""0307265439""","=""9780307265432""",4,3.98,Alfred A. Knopf,Hardcover,241,2006,2006,2020/06/14,2020/09/01,"owned, 2020, 2021","owned (#26), 2020 (#30), 2021 (#2)",read,,,,1,0
70561,The Gulag Archipelago 1918–1956 (Abridged),Aleksandr Solzhenitsyn,"Solzhenitsyn, Aleksandr",Edward E. Ericson Jr.,"=""0060007761""","=""9780060007768""",0,4.32,HarperCollins,Paperback,512,2002,1973,,2021/02/03,to-read,to-read (#5),to-read,,,,0,0
375802,"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,"Card, Orson Scott",,"=""0812550706""","=""9780812550702""",5,4.31,Tor,Mass Market Paperback,324,2004,1985,2021/01/02,2020/09/01,2021,2021 (#1),read,,,,1,0
17274667,"Metro 2033 (Metro, #1)",Dmitry Glukhovsky,"Glukhovsky, Dmitry",,"=""1481845705""","=""9781481845700""",5,4.01,Gollancz,Paperback,458,2013,2002,2020/05/20,2020/09/01,"owned, 2020","owned (#8), 2020 (#37)",read,,,,2,0
6545608,The Perfect Storm: A True Story of Men Against the Sea,Sebastian Junger,"Junger, Sebastian",,"=""0393337014""","=""9780393337013""",4,4.11,W. W. Norton & Company,Paperback,248,2009,1997,2020/05/22,2020/09/01,"owned, 2020","owned (#4), 2020 (#36)",read,,,,1,0
6667916,"Metro 2034 (Metro, #2)",Dmitry Glukhovsky,"Glukhovsky, Dmitry",M. David Drevs,"=""3453533011""","=""9783453533011""",3,3.50,Heyne,Paperback,526,2009,2009,2020/05/24,2020/09/01,"owned, 2020","owned (#9), 2020 (#35)",read,,,,1,0
1898,Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer,"Krakauer, Jon",,"=""""","=""""",4,4.23,Anchor Books,Paperback,368,1999,1997,2020/05/26,2020/09/01,"owned, 2020","owned (#13), 2020 (#34)",read,,,,1,0
33113864,"Metro 2035 (Metro, #3)",Dmitry Glukhovsky,"Glukhovsky, Dmitry",Andrew Bromfield,"=""1539930726""","=""9781539930723""",4,3.94,CreateSpace Independent Publishing Platform,Paperback,497,2016,2015,2020/05/30,2020/09/01,"owned, 2020","owned (#10), 2020 (#33)",read,,,,1,0
32191710,Astrophysics for People in a Hurry,Neil deGrasse Tyson,"Tyson, Neil deGrasse",,"=""0393609391""","=""9780393609394""",2,4.08,W. W. Norton & Company,Hardcover,223,2017,2017,2020/06/02,2020/09/01,"owned, 2020","owned (#2), 2020 (#32)",read,,,,1,0
18007564,The Martian,Andy Weir,"Weir, Andy",,"=""0804139024""","=""9780804139021""",5,4.41,Ballantine Books,Hardcover,384,2014,2011,2020/06/10,2020/09/01,"owned, 2020","owned (#6), 2020 (#31)",read,,,,1,0
